date,time,who,stage,hours,gpu_hours,what_changed,outcome,blocker
2026-09-25,,lahiru+claude,eval,,0,"Stairs v5 held-out (0.7 m/s, heading loop as trained): crossed 12-18/32 depending on scan source, fell 10-17; every 3-4.7 cm staircase crossed in the best run; certified 0-4.7 cm, not stable; falls at >= 8 cm are pelvis collapses",partial,"eval heading loop was capped at 0.5 rad/s vs 0.8 in training -> matched; results swing a lot with small eval changes (policy near its edge)"
2026-09-25,,lahiru+claude,eval,,0,"Kinematic check: action_scale 0.5 keeps joint targets within +-0.5 rad of default = max ~22 cm foot lift with every joint at its limit; 14-16 cm steps are marginal",works,
2026-09-25,,lahiru+claude,train,,2.7,"Kaggle T4 g1-stairs-v6: warm start v5, camera scan model, curriculum capped at 12 cm, 202M steps",works,
2026-09-25,,lahiru+claude,eval,,0,"Stairs v6 held-out: crossed 11-12/32, fell 13-15, no better than v5. On its own training stairs (30 cm tread) v5 crosses 23/32 and certifies 8.0 cm vs 0-4.7 cm on the held-out 27 cm treads",failed,"overfit to one tread depth: the stride fits the training staircase"
2026-09-25,,lahiru+claude,env,,0,"Stairs v7: training stairs mix tread depths per staircase (25/29/33 cm; old layout kept as train30); all 8 levels again",works,
2026-09-25,,lahiru+claude,train,,,"Kaggle T4 g1-stairs-v7: warm start v5, 150M steps (last of this week's GPU quota)",done,
2026-09-25,10:30,lahiru+claude,eval,,0,"Stairs v7 held-out: crossed 17/32, fell 14, certified 3.0 cm (camera 15/32); own train30 stairs 19/32. Tread randomisation alone does not fix the falls",failed,"falls at 8+ cm are pelvis collapses while stepping up"
2026-09-25,10:40,lahiru+claude,analysis,,0,"Fall anatomy (v5): knee and hip-pitch targets pinned at the +-0.5 rad action limit around every fall; a PD target at most 0.5 rad from default caps knee extension torque near 75 Nm at step-up angles (G1 knee motor: 139 Nm)",works,
2026-09-25,10:50,lahiru+claude,env,,0,"v8: leg_action_scale widens hip pitch / knee / ankle pitch targets (1.0 rad); warm start rescales the policy outputs for those joints",works,
2026-09-25,12:15,lahiru+claude,infra,,1.5,"AWS g6e.2xlarge (L40S, 8 vCPU) in us-east-1a after capacity retries; ran 3x slower than Kaggle: MuJoCo Warp printf's a solver-iteration note from the GPU kernel every step (30 GB log in 40 min). opt.warn_overflow=0 -> ~100k steps/s (5x Kaggle)",works,
2026-09-25,12:15,lahiru+claude,env,,0,"Found: MuJoCo Warp makes at most 1 contact between the box sole and the stairs heightfield (plain MuJoCo: 3-20 per foot). v1-v8 trained on one-point feet, evaluated flat-footed. v9 adds 6 sole spheres per foot (1 contact each in both engines), friction DR on all foot-floor pairs, larger contact buffers",works,
2026-09-25,12:18,lahiru+claude,train,,,"AWS g1-stairs-v9: sole spheres + leg_action_scale 1.0, warm start v7, 500M steps in 85 min. Final: held-out 27/32, 5 falls, certified 9.9 cm; 96-run strict test (3 starts): 369M ckpt 81/96, 9 falls",done,
2026-09-25,15:00,lahiru+claude,train,,1.2,"AWS g1-stairs-v10: fine-tune v9 at lr 1e-4, 400M steps. Strict 96-run test: 254M ckpt 82/96 crossed, 14 falls, certified 8.1 cm (48/48 clean up to 8.1 cm); final 78/96, 18 falls",works,"13-15 cm steps: ankle at its dorsiflexion limit stepping up"
2026-09-25,15:05,lahiru+claude,eval,,0,"v10 254M checks: head camera 26/32, certified 8.1 cm (= true scan); train30 treads 26/32, certified 8.0 cm; video 8/8 pyramids 3-15 cm. Slow walking 0.5 m/s: 15/32, certified 3.0 cm, heading drifts 20-35 deg even on 3 cm steps",partial,"slow-speed command / heading tracking"
2026-09-25,15:20,lahiru+claude,analysis,,0,"v10 by commanded cadence f = vx/(2 step): 1.0 Hz long strides fail at any speed (14-15/32), 1.4 Hz short steps (about one per tread) 30-31/32 single-start. Single-start results are near-chaotic (0.21 vs 0.214 m step: 30 vs 27/32), so only the 96-run strict test counts",works,
2026-09-25,16:50,lahiru+claude,train,,1.0,"AWS g1-train-3 (g6e.xlarge, 1b; 1a had no capacity) g1-stairs-v11: stairs gait 1.25-1.6 Hz, warm start v10-254M, lr 1e-4, 300M steps in 55 min. Strict 96-run at 0.7 m/s / 1.4 Hz: 191M ckpt 88/96, 8 falls (v10: 84/96, 12), certified 8.1 cm, 2 falls in 72 runs up to 11.6 cm",works,"15 cm: 1 in 3 falls in every v11 checkpoint"
2026-09-25,17:55,lahiru+claude,train,,1.0,"AWS g1-stairs-v12: curriculum sends 70% of top-level graduates back to the 12-16 cm rows; warm start v11-191M, 300M steps. Strict 96-run at 0.7 m/s: 254M ckpt 91/96, 5 falls (v11: 88/96, 8), 15 cm 11/12 (v11: 8/12). With the head camera 86/96, 10 falls; 0.6 m/s 84/96, 11 falls; 0.5 m/s 70/96",works,"camera scan errors double the falls; slow speeds weaker"
2026-09-25,19:40,lahiru+claude,train,,1.4,"AWS g1-train (1d) g1-stairs-v13: camera scan model fine-tune from v12-254M, 300M steps. 32-run camera test of the final checkpoint: 30/32, 0 falls; strict 96-run camera test: 83/96, 11 falls (v12-254M: 86/96, 10). No gain; v12-254M stays the best",failed,"camera gap needs teacher-student distillation, not a fine-tune"
2026-09-25,20:00,lahiru+claude,infra,,0,"Pipeline v2: g1pipe/preflight.py (engine parity on stair poses, throughput, warm-start identity), g1pipe/gpu_eval.py (batched MJX ranking of every checkpoint with 95% intervals), stairs_eval disturbances + robot-safety numbers, scripts/certify.py (suite -> policy card), scripts/g1job.py (one-command AWS job with budget ledger), docs/lessons.md",works,"g1job end-to-end not yet run on AWS"
2026-09-25,20:05,lahiru+claude,eval,,0,"First policy card (v12-254M, scripts/certify.py): envelope 6.4 cm (strict 5/96 falls, camera 10/96); push 4/32, payload 5 kg 4/32, 30 cm treads certified 12 cm; friction x0.5 (0.3, below the training range) 18/32 falls; 20 ms actuation delay 32/32 falls. The flat v1 policy also falls with 20 ms delay: the Playground recipe has no latency",failed,"no actuation latency or low friction in training"
2026-09-25,20:40,lahiru+claude,infra,,0.3,"First g1job run (v14: latency + friction 0.25-1.0): capacity after 9 min (new g1-train-4, 1c); sync stalled uploading .claude/ (6.5 GB, now excluded); preflight on Warp blocked training: parity 'across the stairs' pose foot height 14.8 cm off (other 4 poses <0.4 cm), throughput check measured 4096 envs (33k/s, now 8192). Box stopped by the job",partial,"investigate the Warp edge-contact pose on the GPU before v14"
2026-09-25,21:00,lahiru+claude,analysis,,0,"Parity gap traced on the Mac (MuJoCo Warp runs on CPU): a sole lying lengthwise on a step edge slides down the 5 cm heightfield ramp in Warp (1 box contact + spheres) and holds on the rim in plain MuJoCo (30+ box contacts). Feet across an edge (straight crossings) agree to 0.1 cm. Pose made report-only in the preflight; fix later with a finer heightfield or box-geom stairs",works,
2026-09-25,21:25,lahiru+claude,train,,0.7,"First full g1job run: g1-stairs-v14 (actuation delay 0/20 ms + friction 0.25-1.0, from v12-254M, 100M steps). Preflight OK on the GPU (parity 4/4 gating poses, 77.7k steps/s, warm start identical); ranked 20 checkpoints x 2048 episodes on the GPU; box stopped by the job after 41 min. Bug: launched a new box (g1-train-5) while g1-train-4 was still stopping; fixed",works,
2026-09-25,21:35,lahiru+claude,eval,,0,"v14 policy card (100M steps): strict 1/96 falls, certified 9.9 cm (v12: 5, 6.4 cm); camera 8/96 (v12: 10); 0.6 m/s 0/96 (v12: 11); pushes 0/32 (4); friction 0.3 2/32 (18); 30 cm treads certified 16 cm; 20 ms delay 17/32 (32/32); payload 4/32 (4). Torque saturation 13% -> 5% of the time. Best policy so far",works,"20 ms delay still 53% falls; camera 8%"
2026-09-25,21:45,lahiru+claude,env,,0,"v15 ready (not trained): 70% of episodes with the 20 ms actuation delay (v14: 50%), 0-4 kg extra torso payload on top of Playground's +-1 kg. Run: scripts/g1job.py --run g1-stairs-v15 --init-from runs/g1-stairs-v14/run/params.pkl, 300M steps",works,"daily AWS cap reached (591/600 min)"
